doporučení,Skupina_produkt,Název,Čárkód,Prodejní cena Kč,ks 3-4/2025,ks 3-4/2024,ks_měsíc_prům,obrat_měsíc_prům,marže_%,Stav zásoby (8.4.2025),Dodavatel,Členění
jádro,Baterie,GETI alkal. AA LR06 pack 10ks,8595563726969,120.0,4.0,141.0,72.5,895.0,101.0,16.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Tužková bateri AA- Panasonic,5410853045724,8.0,48.0,43.0,45.5,294.0,87.0,245.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Panasonic tužkové LR6 baterie- Gold AA,5410853039945,22.0,70.0,17.0,43.5,786.0,121.0,69.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,AAA mikrotužka panasonic LR03,5410853040170,25.0,72.0,14.0,43.0,888.0,151.0,4.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,GETI alkal. AAA LR03 pack 10ks,8595563726976,120.0,1.0,80.0,40.5,436.0,122.0,6.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Panasonic CR-2032EP ,5410853043836,45.0,36.0,39.0,37.5,1387.0,269.0,15.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Panasonic mikro tužka AAA R03Z/4P,5410853045731,10.0,13.0,17.0,15.0,116.0,174.0,59.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,R14 zinkové baterie,5410853034865,21.0,4.0,23.0,13.5,209.0,78.0,76.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Lithium AA ,7638900262643,74.0,8.0,12.0,10.0,597.0,43.0,2.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,GP supercell LR 14 malé,4891199037177,39.0,19.0,0.0,9.5,306.0,48.0,26.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Energizer A23 12V,7638900083057,39.0,11.0,3.0,7.0,226.0,108.0,7.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Panasonic PR312 do naslouchátek,5410853057031,18.0,0.0,12.0,6.0,96.0,63.0,30.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Energizer A76/LR44 jeden kus,7638900083071,25.0,6.0,5.0,5.5,113.0,151.0,12.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Baterie CR2025 3V ,5410853043829,39.0,4.0,7.0,5.5,174.0,226.0,18.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,Panasonic tužkové LR6 Evolta,5410853044703,30.0,10.0,0.0,5.0,124.0,109.0,22.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Baterie,"Zinková baterie GP Greencell 9V (6F22), 1 ks",4891199002205,30.0,3.0,6.0,4.5,112.0,74.0,9.0,EMOS spol. s r.o.,Drogerie/Elektro/Emos
jádro,Baterie,CR 2 - 3 volty lithium,5025232016082,89.0,2.0,5.0,3.5,257.0,93.0,12.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Bezš. svorka wago 3x4mm s páčkou  221-413 WP3,4055143644907,16.0,35.0,25.0,30.0,397.0,76.0,77.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,"bezš. svorka wago 3x2,5mm 2273-203",4050821027850,6.0,17.0,25.0,21.0,103.0,63.0,68.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,"bezš. svorka wago 4x2,5mm 2273-204",4050821027867,8.0,6.0,34.0,20.0,132.0,70.0,105.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Pojistka přístrojová různé hodnoty malá,1000000008449,9.0,30.0,3.0,16.5,123.0,128.0,107.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,PŘÍMÁ bezš svorka WAGO 2X4mm s páčkou 221-2411,4066966102666,19.0,12.0,20.0,16.0,251.0,71.0,95.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,bezš. svorka wago 2x4mm s páčkou  221-412 WP2,4055143644716,13.0,0.0,30.0,15.0,161.0,60.0,29.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,"zdíř. L973- 100 6,3mm Faston auto  03360089 samice",8595118845541,2.0,28.0,0.0,14.0,23.0,174.0,0.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Inst.Krabice univerzál.UK1 krabice +  KU 68/2-1901 vysoká,8584128185846,8.0,12.0,9.0,10.5,69.0,69.0,30.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Vidlice úhlová bílá 5536-2154,8595017214202,53.0,10.0,4.0,7.0,298.0,47.0,5.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Pojistka 16A,3838895000143,25.0,5.0,7.0,6.0,112.0,82.0,23.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Vidlice gumová černá IP44,3245060504458,109.0,7.0,5.0,6.0,510.0,54.0,5.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,bezš. svorka wago 5x4 s páčkou 221-415,4055143234658,20.0,10.0,0.0,5.0,83.0,54.0,35.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Krabice do sádrokartonu  ŽLUTÁ,8595568929709,40.0,6.0,3.0,4.5,149.0,41.0,26.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,lišta 17*17 vkládací 2m,8595057616530,66.0,8.0,1.0,4.5,244.0,48.0,3.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Svorkovnice 10 čokoláda,5905339264336,35.0,5.0,4.0,4.5,130.0,51.0,3.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Vidlička lomená černá 5536-2159N,8595017292835,55.0,3.0,6.0,4.5,197.0,48.0,4.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,"inst.Spína.3553-01289 B1 jednopól. spínač Classic, řazení 1, bílý ",8595017203329 ,91.0,6.0,3.0,4.5,336.0,42.0,6.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,Vidl. 32Ax5 INV 3253,8585007343302,249.0,4.0,4.0,4.0,740.0,83.0,4.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
jádro,Elektroinstalační drobný materiál,vidlice tympol s ouškem,5907736500772,45.0,0.0,8.0,4.0,141.0,71.0,1.0,"MERTLÍK, spol. s r.o.",Drogerie/Elektro/Mertlík
