Skupina,Naléhavost,Víkend,Podíl mimo dobu,ks/měs Solnice,ks/měs mimo dobu,Obrat mimo dobu Kč bez DPH,Proč
"Lepidla, tmely, silikony, PU pěny",4,4,0.5,358,179,17900,"Rozbité, odlepené, zatéká. Zároveň nutné pro víkendovou opravu."
Malířské potřeby,2,5,0.42,771,324,11240,"Fólie, štětce, brusivo, válečky. Kupuje se v pátek večer a v sobotu ráno před malováním."
Vodoinstalace a hadice,5,3,0.52,420,218,8844,"Prasklá hadice, teče spoj. Havárie nečeká do pondělí."
Úklid a čisticí prostředky,3,3,0.4,314,126,6955,"Došlo Savo, pytle, houbičky. Uklízí se hlavně o víkendu."
Nátěrové hmoty (barvy na zeď),2,5,0.42,54,23,6767,"Malování je víkendová akce. Chybí-li barva v sobotu, projekt stojí."
Ředidla a technická chemie,2,4,0.38,190,72,6444,Ředidlo a líh k víkendovému natírání a čištění.
Elektroinstalační drobný materiál,4,3,0.46,328,151,6235,"Vyhozená pojistka, utržená vidlice, prodlužovačka."
Lepicí a maskovací pásky,3,5,0.48,256,123,5382,"Bez maskovací pásky se nedá malovat, bez izolepy dodělat oprava."
Ruční nářadí a měřidla,3,4,0.44,125,55,4818,"Zlomená čepel, ztracený metr, chybí šroubovák."
Baterie,5,2,0.48,389,187,3549,"Vybité ovladače, hlásiče, hračky, svítilny. Klasický večerní a nedělní nákup."
Ochranné pomůcky,3,4,0.44,88,39,3520,"Rukavice, brýle, respirátor k víkendové práci."
Stavební chemie a sádra,2,4,0.38,67,25,3303,"Sádra k zaplácnutí díry, lepidlo na obklady."
Kabely a vodiče,3,3,0.4,300,120,3273,Prodlužovačka a kabel k opravě.
Žárovky a světelné zdroje,5,2,0.48,142,68,2929,Přestane svítit večer. Nákup nesnese odklad a nedá se odložit na pracovní den.
Spojovací materiál,3,5,0.48,174,84,2761,Došly vruty nebo hmoždinky uprostřed víkendové práce. Typický dokup.
Semena a ochrana rostlin,1,5,0.36,190,68,2035,"Sází se o víkendu, sezónní špička únor–květen."
"Domácnost (věšáky, šňůry, háčky)",2,3,0.34,138,47,1745,Drobné doplňky k úklidu a zabydlení.
"Podpalovače, topení, zapalování",4,3,0.46,65,30,1236,"Podpalovač a zapalovač dojdou v sobotu večer, topí se i v neděli."
Hubení škůdců,4,2,0.42,68,29,1157,Myš v domě nebo vosy se neřeší za tři dny.
Hygiena a papírové zboží,4,1,0.38,101,38,1047,Došel toaletní papír. Nejbanálnější nouzový nákup.
Papírnictví,2,2,0.3,82,25,813,"Popisovač, sáčky. Doplňkový nákup."
Svíčky a hřbitovní zboží,2,4,0.38,42,16,514,"Návštěva hřbitova je nedělní a svátek (Dušičky, Vánoce), kdy je zavřeno."
