Produktová skupina,SKU_celkem,SKU_aktivní,ks_2025,ks_2024,obrat_2025,obrat_2024,zisk_2025,ks_měsíc_prům,podíl_ks_%,obrat_měsíc_prům,podíl_obrat_%,marže_%,prům_cena_Kč,vhodnost_24/7,komentář
Baterie,495,42,331.0,447.0,9441.5412,8381.8306,4758.9412,389.0,6.7,8912.0,1.8,50.0,23.0,5,"Nouzový nákup, nízká cena, dlouhá trvanlivost, minimální prostor. Drobné zboží – umístit do zorného pole kamery."
Lepicí a maskovací pásky,217,94,207.0,306.0,11308.1602,15824.2293,5252.7802,256.0,4.4,13566.0,2.7,46.0,53.0,5,"Vysoká frekvence i marže (140 %+ u TX pásek), bez poradenství, netrvanlivost neřeší."
Žárovky a světelné zdroje,1570,85,158.0,127.0,6620.8598999999995,8201.0395,3159.9999,142.0,2.4,7411.0,1.5,48.0,52.0,5,"Typický večerní/víkendový nouzový nákup. Omezit na 15–20 nejběžnějších patic (E27, E14, G9, GU10) + LED."
"Malířské potřeby (štětce, válečky, fólie, brusivo)",569,277,700.0,841.5,31960.6809,32291.1702,-189.2591,771.0,13.3,32126.0,6.4,41.0,42.0,4,"Nejprodávanější skupina v kusech. Fólie, štětce, válečky, brusné papíry. Zkontrolovat nákupní ceny (v datech je několik položek se zápornou marží)."
Vodoinstalace a hadice,572,191,405.0,434.0,18713.8601,22768.570200000002,7093.6601,420.0,7.2,20741.0,4.1,43.0,49.0,4,"Havarijní nákup (praská hadice, teče spoj). Objímky, hadicové spony, PPR fitinky 20–25 mm, těsnění, teflon. Bez velkých trubek."
"Lepidla, tmely, silikony, PU pěny",422,231,359.0,358.0,42068.6599,44722.7805,12749.5299,358.0,6.2,43396.0,8.7,36.0,121.0,4,"Mamut, sekundová lepidla, sanitární silikon, akryl, pěna. Střední cena (100–200 Kč), dobrá marže."
Elektroinstalační drobný materiál,773,134,315.0,342.0,14546.581,18233.5701,5233.181,328.0,5.7,16390.0,3.3,36.0,50.0,4,"WAGO svorky, pojistky, vidlice, zásuvky, krabice – běžné položky nevyžadují radu. Vynechat drahé jističe a přístroje."
"Semena, hnojiva, ochrana rostlin",71,30,173.0,208.0,5264.97,8375.8902,2172.55,190.0,3.3,6820.0,1.4,41.0,36.0,4,"Sezónní stojan (únor–květen). Semena 19–42 Kč s marží 40–100 %, minimální prostor. Mimo sezónu nahradit jiným stojanem."
Spreje,180,74,91.0,135.0,11158.5,18621.1993,4099.24,113.0,1.9,14890.0,3.0,37.0,132.0,4,"Barvy ve spreji 120–250 Kč, 113 ks/měs. Hořlavé a lákavé ke krádeži, proto omezená řada a zamčená vitrína nebo zorné pole kamery. Značkovací fluo sprej jede 18 ks/měs."
Ochranné pomůcky,139,53,80.0,95.0,10294.73,9130.72,4039.09,88.0,1.5,9713.0,1.9,39.0,110.0,4,"Pracovní rukavice 28–65 Kč, zátky do uší, respirátory. Vysoká frekvence, bez poradenství."
Hubení škůdců,80,32,58.0,78.0,2536.1798,4157.329900000001,886.4898,68.0,1.2,3347.0,0.7,35.0,49.0,4,"Pastičky, mucholapky, nástrahy na myši (balení do 150 g pro veřejnost). Nouzový a diskrétní nákup – vhodné pro bezobslužný prodej."
