Sekce,Položka,Cena Kč,Prodej Solnice ks/měs,Poznámka
Baterie,AA alkalická po kuse (Panasonic),8,46,
Baterie,AA alkalická 10 ks (GETI),120,73,
Baterie,AAA alkalická po kuse,25,43,
Baterie,AAA alkalická 10 ks,120,41,
Baterie,CR2032 knoflíková,45,38,
Baterie,CR2025 knoflíková,39,6,
Baterie,C / LR14 (2 ks),39,14,zinkové R14 + alkalické LR14
Baterie,D / LR20 (2 ks),60,doplnit,"svítilny, plynové kotle"
Baterie,9V blok 6LR61,60,doplnit,kouřové hlásiče
Baterie,A23 12V,39,7,dálkové ovladače vrat
Baterie,LR44 / A76,25,6,
Baterie,PR312 do naslouchátek,18,6,
Baterie,Lithium AA (2 ks),74,10,
Žárovky a svítidla,LED E27 8–10 W teplá bílá,89,8,nahrazuje 60 W
Žárovky a svítidla,LED E27 13–15 W teplá bílá,119,doplnit,nahrazuje 100 W
Žárovky a svítidla,LED E14 svíčka 5–6 W,79,doplnit,klasické E14 25/40 W se prodávají 10 ks/měs
Žárovky a svítidla,"Žárovka E27 40 W / 60 W (tes-lamp, klasik)",20,21,dokud je dostupná
Žárovky a svítidla,Žárovka E14 svíčka 25 W / 40 W,20,10,
Žárovky a svítidla,GU10 LED 5 W,69,5,
Žárovky a svítidla,G9 halogen / LED,39,14,
Žárovky a svítidla,Reflektor R50 E14 40 W,39,3,
Žárovky a svítidla,LED trubice 120 cm T8,149,doplnit,"garáže, dílny"
Žárovky a svítidla,Startér do zářivky S2/S10,15,doplnit,
Žárovky a svítidla,Svítilna / čelovka LED na AA/AAA,119,5,
Elektroinstalace,WAGO 221-412 (2×4 mm) s páčkou,13,15,
Elektroinstalace,WAGO 221-413 (3×4 mm) s páčkou,16,30,nejprodávanější
Elektroinstalace,WAGO 221-415 (5×4 mm) s páčkou,20,5,
Elektroinstalace,"WAGO 2273-203 (3×2,5 mm)",6,21,
Elektroinstalace,"WAGO 2273-204 (4×2,5 mm)",8,20,
Elektroinstalace,Pojistky přístrojové 5×20 mm – sada hodnot,9,17,prodávat v sadě 10 ks
Elektroinstalace,Pojistka 16 A válcová,25,6,
Elektroinstalace,Vidlice úhlová bílá,53,7,
Elektroinstalace,Vidlice gumová IP44 černá,109,6,
Elektroinstalace,Zásuvka pohyblivá (na kabel) bílá / gumová,60,doplnit,
Elektroinstalace,"Prodlužovací kabel 3 zásuvky, 3 m a 5 m",199,doplnit,nejčastější nouzový nákup elektro
Elektroinstalace,Prodlužovací kabel 1 zásuvka 10 m (zahradní),299,doplnit,
Elektroinstalace,Spínač jednopólový + zásuvka nástěnná (Tango/Classic),91,4,
Elektroinstalace,Instalační krabice KU 68 (do zdi) a do SDK,8,15,
Elektroinstalace,"Svorkovnice 12pól. 2,5 mm",25,doplnit,
Elektroinstalace,Husí krk 16 / 23 mm (návin 5 m),80,26,v datech na metry
Elektroinstalace,Lišta vkládací 17×17 mm 2 m,66,5,
Elektroinstalace,"Faston zdířky 6,3 mm (sáček 20 ks)",30,14,
Elektroinstalace,Zvonek bezdrátový / bateriový tlačítko,249,doplnit,
Kabely (předbalené náviny),"CYSY 3G×1,5 návin 5 m a 10 m",160,72,v datech 72 m/měs po metrech
Kabely (předbalené náviny),"CYKY 3×2,5 návin 10 m",380,49,
Kabely (předbalené náviny),"CYKY 3×1,5 návin 10 m",280,30,
Kabely (předbalené náviny),CYSY 2×1 návin 5 m,85,33,
Kabely (předbalené náviny),CYSY 3G×1 návin 5 m,105,12,
Kabely (předbalené náviny),"Dvojlinka 2×0,75 návin 20 m",60,22,
Pásky,Maskovací páska TX 25 mm 50 m,59,72,marže 144 %
Pásky,Maskovací páska TX 30 / 38 / 48 mm,50,25,
Pásky,Krepová páska 50 mm 50 m (60 °C),76,7,
Pásky,Izolační páska 15 mm černá + sada barev,12,14,
Pásky,Izolační páska 25 mm,22,6,
Pásky,Teflonová páska 12 mm,22,6,
Pásky,Balicí páska 48 mm 66 m,55,6,
Pásky,Univerzální textilní (duct) páska 50 mm,145,5,
Pásky,Oboustranná montážní páska,89,doplnit,
Pásky,Stahovací pásky 200 mm a 300 mm (50 ks),50,8,
"Lepidla, tmely, pěny",Mamut Glue High tack 290 ml bílý,199,26,nosná položka
"Lepidla, tmely, pěny",Mamut Glue Crystal transparent 290 ml,235,4,
"Lepidla, tmely, pěny",Mamut Glue 25 ml (tuba),75,5,
"Lepidla, tmely, pěny",Sekundové lepidlo 3 g (Loctite),53,3,
"Lepidla, tmely, pěny",Herkules / Chemoprén univerzál 50–120 g,60,doplnit,
"Lepidla, tmely, pěny",Sanitární silikon 280 ml bílý a transparent,155,13,
"Lepidla, tmely, pěny",Akryl bílý 310 ml,95,5,
"Lepidla, tmely, pěny",Montážní pěna trubičková 750 ml,169,4,
"Lepidla, tmely, pěny",Pěna 500 ml s aplikátorem (Pattex Control),169,6,
"Lepidla, tmely, pěny",Pistole na kartuše,99,doplnit,bez ní se silikon neprodá
"Lepidla, tmely, pěny",Aplikační špičky na kartuše 5 ks,44,4,
"Lepidla, tmely, pěny","Tmel na dřevo 250 g (smrk, dub)",62,5,
"Lepidla, tmely, pěny",Sádra bílá 1 kg a 3 kg,45,10,
"Lepidla, tmely, pěny",Univerzální štukový tmel 400 g (Uniflex),65,3,
Malířské potřeby,Zakrývací fólie 4×5 m,25,63,nejprodávanější kus prodejny
Malířské potřeby,"Zakrývací plachta 4×12,5 m",55,16,
Malířské potřeby,Štětec plochý 40 / 50 / 70 mm,37,26,
Malířské potřeby,Váleček velvet 10 cm + držadlo,22,10,
Malířské potřeby,Váleček 18 / 25 cm + rukojeť,90,9,
Malířské potřeby,Malířská mřížka / vanička,39,doplnit,
Malířské potřeby,Brusné plátno 60 / 80 / 120,17,35,
Malířské potřeby,Brusný papír pod vodu 600 / 800,15,20,
Malířské potřeby,Špachtle 60 mm a 100 mm,39,doplnit,
Malířské potřeby,Míchací pohár 385 ml,21,4,
Malířské potřeby,"Nopová fólie 0,5 m a 1 m × 20 m",38,40,"izolace základů, silný prodej"
Malířské potřeby,Bílá malířská barva 4 kg (Primalex/HET),199,doplnit,"jediná barva, kterou bezobslužně držet"
Malířské potřeby,"Univerzální lazura 0,75 l ořech / teak",259,5,
Malířské potřeby,Bochemit proti plísním 500 ml,99,6,
Vodoinstalace,Hadicové spony 8–12 / 12–20 / 16–25 / 20–32 / 25–40 / 32–50,9,77,celá řada
Vodoinstalace,Objímka trubková 2-šroub 31–38 mm,16,25,
Vodoinstalace,Objímka trubková 2-šroub 54–59 mm,22,14,
Vodoinstalace,Příchytka na potrubí 20 / 25 mm,8,17,
Vodoinstalace,"PPR koleno 90° 20 mm, T-kus 20, nátrubek 20",8,15,jen dimenze 20 a 25
Vodoinstalace,"Mosazná vsuvka 3/4"", 1/2""",48,9,
Vodoinstalace,Tubex izolace 20×10 mm (2 m),12,14,
Vodoinstalace,"Těsnění gumová sada 1/2""–3/4""",25,doplnit,nejčastější havárie
Vodoinstalace,"Flexi hadička 3/8"" 30–50 cm",79,doplnit,
Vodoinstalace,Perlátor M22/M24,39,doplnit,
Vodoinstalace,Sprchová hadice 150 cm,245,3,
Vodoinstalace,Sifon umyvadlový plast,89,doplnit,
Vodoinstalace,"Zahradní hadice 1/2"" 20 m + rychlospojky",399,doplnit,ověřit z dat prodejny 2
Spojovací materiál (blistry),Hmoždinky 6 / 8 / 10 mm (sady),39,doplnit,v datech kusový prodej
Spojovací materiál (blistry),"Vruty univerzální 4×40, 4×50, 5×60 (sady)",59,doplnit,
Spojovací materiál (blistry),"Šrouby do plechu 2,9×13 (sada 50 ks)",29,37,"v datech 37 ks/měs po 0,40 Kč"
Spojovací materiál (blistry),Hřebíky 40 / 60 / 80 mm (sáček),39,doplnit,
Spojovací materiál (blistry),"Skoby, háčky, oka (sada)",39,doplnit,
Spojovací materiál (blistry),Hmoždinka rámová 10×100 (sada),79,doplnit,
Spojovací materiál (blistry),Vázací drát pozink,49,doplnit,
Spojovací materiál (blistry),Zárohák (hák do zdi),69,5,
Ruční nářadí,Svinovací metr 5 m,99,9,
Ruční nářadí,Odlamovací nůž 18 mm kovový,89,7,
Ruční nářadí,Náhradní čepele 18 mm 10 ks,40,12,
Ruční nářadí,Šroubovák s bity (ráčna + 20 bitů),199,doplnit,
Ruční nářadí,Kleště kombinované 180 mm,149,doplnit,
Ruční nářadí,Kladivo 300 g,129,doplnit,
Ruční nářadí,Ocelový kartáč 5řadý,68,5,
Ruční nářadí,Pilka na kov / pilový list,99,doplnit,
Ruční nářadí,Vodováha 40 cm,99,doplnit,
Ruční nářadí,Sada imbus klíčů,89,doplnit,
Ruční nářadí,Zavírací nůž,163,4,
Ruční nářadí,Vědro stavební 12 l,49,6,
Ochranné pomůcky,Pracovní rukavice vel. 8 / 9 / 10 / 11,59,30,celá řada velikostí
Ochranné pomůcky,Rukavice profi 1+1,28,5,
Ochranné pomůcky,Jednorázové nitrilové rukavice (10 ks),39,doplnit,
Ochranné pomůcky,Zátky do uší,10,3,
Ochranné pomůcky,Respirátor FFP2 (2 ks),39,doplnit,"broušení, barvy"
Ochranné pomůcky,Ochranné brýle,49,doplnit,
Technická chemie,"Ředidlo S6006 0,7 l",85,21,hořlavina – ověřit požární předpisy
Technická chemie,"Ředidlo S6005 0,7 l",95,12,
Technická chemie,"Nitroředidlo C6000 0,7 l",95,9,
Technická chemie,"Líh technický 0,7 l",98,7,
Technická chemie,"Lakový benzín 0,7 l",109,4,
Technická chemie,WD-40 / univerzální mazivo sprej 200 ml,129,doplnit,
Technická chemie,"Odrezovač 0,5 l",112,3,
Technická chemie,Kyselina citronová 100 g,22,6,
Technická chemie,Vazelína bílá,195,4,
Technická chemie,Destilovaná voda 5 l,70,6,
Technická chemie,Nemrznoucí směs do ostřikovačů 3 l,99,doplnit,sezónně
Úklid,"Savo Original 1,2 l",67,5,
Úklid,Savo proti plísni 500 ml,99,5,
Úklid,Domestos 750 ml / 2 l,59,10,
Úklid,Jar / prostředek na nádobí 900 ml,59,doplnit,
Úklid,"Univerzální čistič (Ajax, Cif)",59,doplnit,
Úklid,Pytle na odpad 60 l a 120 l,39,11,
